"Name","StatusString","Owner","HostName","OperatingSystem","CPUCount","Memory","TotalSize","Version","VMCheckpoints"
"dev-scs-k8s-new-04","Stopped","ETR\y.grishkin","etr-host-14.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","12","32768","48393879552","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"s7-web03-test","Running","ETR\v.trofimovich","etr-host-08.etr.eastbanctech.ru","Windows Server 2019 Standard","4","16384","45034242048","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-victoriametrics-01","Running","ETR\y.bushuev","etr-host-04.etr.eastbanctech.ru","Other Linux (64 bit)","4","8192","54534340608","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-itinvent-01","Running","ETR\v.dutov","etr-host-05.etr.eastbanctech.ru","Windows Server 2019 Standard","2","8192","27988590592","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-vault-01","Running","ETR\a.rusinov","etr-host-07.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","8192","12188647424","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-db-04","Running","ETR\a.kubyshkin","etr-host-02.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","8192","62822285312","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"s7-sql-test","Stopped","ETR\y.grishkin","etr-host-05.etr.eastbanctech.ru","64-bit edition of Windows Server 2008 R2 Standard","8","12288","772901175296","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-adfs-03","Stopped","ETR\y.bushuev","dev-host-02.etr.eastbanctech.ru","Windows Server 2016 Standard","4","1024","45537558528","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-vpn-03","Running","ETR\d.khromenko","etr-host-05.etr.eastbanctech.ru","Windows Server 2019 Standard","4","4096","30370955264","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"s7-sql-prod","Stopped","ETR\y.grishkin","dev-host-02.etr.eastbanctech.ru","64-bit edition of Windows Server 2008 R2 Enterprise","4","1024","236160286720","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-lb-01","Running","ETR\a.rusinov","etr-host-03.etr.eastbanctech.ru","Other Linux (64 bit)","2","2048","15472787456","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-olap-02","Running","ETR\g.sidorov","etr-host-08.etr.eastbanctech.ru","Windows Server 2016 Standard","12","32768","120565268480","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-te-k8s-06","Running","ETR\e.paraga","etr-host-03.etr.eastbanctech.ru","Other Linux (64 bit)","24","32768","50977570816","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-ingos-elk-01","Running","ETR\a.rusinov","etr-host-08.etr.eastbanctech.ru","Other Linux (64 bit)","4","16384","58091110400","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-nexus-proxy-01","Running","ETR\v.trofimovich","etr-host-05.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","6144","221597663744","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-k8s-07","Running","ETR\a.kubyshkin","etr-host-04.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","16","40960","40940601344","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-dc-01","Running","ETR\v.trofimovich","etr-host-05.etr.eastbanctech.ru","Windows Server 2019 Standard","2","4096","31243370496","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-elk-02","Running","ETR\v.shakhov","etr-host-04.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","16640","173283475456","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-tfs-db-01","Running","ETR\d.khromenko","etr-host-03.etr.eastbanctech.ru","Windows Server 2019 Standard","16","32768","465873928192","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sberins-db-01","Stopped","ETR\s.belenkaya","etr-host-14.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","2","2048","43696259072","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-k8s-01","Running","ETR\e.paraga","etr-host-06.etr.eastbanctech.ru","Other Linux (64 bit)","4","4096","14034141184","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"s7-olap01-dev","Running","ETR\v.trofimovich","etr-host-05.etr.eastbanctech.ru","Windows Server 2019 Standard","12","12288","86138421248","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-te-moss13-01","Stopped","ETR\y.bushuev","dev-host-02.etr.eastbanctech.ru","Windows Server 2012 R2 Standard","8","16384","196498948096","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-k8s-09","Running","ETR\a.kubyshkin","etr-host-03.etr.eastbanctech.ru","Other Linux (64 bit)","16","40960","40638611456","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-relay-01","Running","ETR\a.rusinov","etr-host-07.etr.eastbanctech.ru","Other Linux (64 bit)","2","2048","9734979584","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-lm-pg-01","Running","ETR\a.korsun","etr-host-08.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","11316232192","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-te-k8s-01","Running","ETR\e.paraga","etr-host-06.etr.eastbanctech.ru","Other Linux (64 bit)","4","4096","18228445184","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-olap-01","Running","ETR\k.anisimov","etr-host-01.etr.eastbanctech.ru","Windows Server 2016 Standard","8","16384","85299560448","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-lm-moss-01","Stopped","ETR\y.bushuev","dev-host-02.etr.eastbanctech.ru","Windows Server 2016 Standard","8","8192","61777903616","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-k8s-03","Running","ETR\a.kubyshkin","etr-host-01.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","16","40960","42316333056","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-lm-pg-02","Stopped","ETR\a.korsun","dev-host-02.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","5947523072","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-efko-02","Running","ETR\d.simakov","etr-host-07.etr.eastbanctech.ru","Ubuntu Linux 16.04 (64 bit)","4","8192","42450550784","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-matiss-03","Stopped","ETR\g.sidorov","dev-host-02.etr.eastbanctech.ru","Unknown","2","1024","20505952256","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-delegationservice-dbmngr-01","Running","ETR\e.paraga","etr-host-05.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","2","4096","8057257984","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-efko-12","Stopped","ETR\d.simakov","dev-host-02.etr.eastbanctech.ru","Windows Server 2012 R2 Standard","8","8192","175896526848","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
