;dev-lm-06.dev.etr.eastbanctech.ru;192.168.156.11;Windows Server 2012 R2;72%;08.06.2022 12:50
;dev-olap-02.dev.etr.eastbanctech.ru;192.168.154.167;Windows Server 2016 Standard;81%;30.07.2022 2:51
;notebook-tugunova.etr.eastbanctech.ru;192.168.159.48;Windows 10 Enterprise;94%;20.02.2023 10:19
;etr-db-02.etr.eastbanctech.ru;192.168.150.242;Windows Server 2012 R2;77%;12.01.2023 13:37
;notebook-lbov.etr.eastbanctech.ru;192.168.154.58;Windows 10 Enterprise;93%;19.02.2023 11:21
;notebook-sidorov.etr.eastbanctech.ru;192.168.154.32;Windows 10 Enterprise;88%;13.02.2023 9:19
;zhukov.etr.eastbanctech.ru;192.168.154.40;Windows 10 Enterprise;94%;22.02.2023 15:41
;notebook-mirnyi.etr.eastbanctech.ru;192.168.154.66;Windows 10 Enterprise;93%;13.03.2023 11:00
;ibm-note.etr.eastbanctech.ru;192.168.154.127;Windows 7 Professional;94%;13.03.2023 12:42
;gomer.etr.eastbanctech.ru;192.168.154.147;Windows 10 Enterprise;93%;03.03.2023 10:06
;notebook-hr1.etr.eastbanctech.ru;192.168.159.40;Windows 10 Enterprise;93%;21.02.2023 13:32
;notebook-kalyuzhnaya.etr.eastbanctech.ru;192.168.159.56;Windows 10 Enterprise;94%;14.03.2023 11:04
;notebook-talochkin.etr.eastbanctech.ru;192.168.152.56;Windows 10 Enterprise;94%;10.03.2023 10:24
;notebook-pauls.etr.eastbanctech.ru;192.168.159.55;Windows 10 Enterprise;93%;07.03.2023 11:25
;notebook-skabina.etr.eastbanctech.ru;192.168.154.200;Windows 10 Enterprise;93%;14.03.2023 1:38
;notebook-nikitina.etr.eastbanctech.ru;192.168.159.22;Windows 10 Enterprise;98%;15.03.2023 9:28
;gurova.etr.eastbanctech.ru;192.168.154.174;Windows 10 Enterprise;94%;14.03.2023 19:08
;abrosimov.etr.eastbanctech.ru;192.168.152.234;Windows 10 Enterprise;94%;21.02.2023 17:32
;notebook-kryshniy.etr.eastbanctech.ru;192.168.159.45;Windows 10 Enterprise;94%;21.02.2023 15:38
;demin.etr.eastbanctech.ru;192.168.154.38;Windows 10 Enterprise;94%;01.03.2023 15:13
;gusev.etr.eastbanctech.ru;192.168.154.20;Windows 10 Enterprise;94%;14.03.2023 19:08
;sobol.etr.eastbanctech.ru;192.168.154.15;Windows 10 Enterprise;93%;24.02.2023 0:17
;chechenkin.etr.eastbanctech.ru;192.168.152.217;Windows 10 Enterprise;94%;10.03.2023 15:30
;kasper-test.etr.eastbanctech.ru;192.168.154.251;Windows Server 2019 Standard;93%;21.02.2023 13:00
;belyakova.etr.eastbanctech.ru;192.168.152.64;Windows 10 Enterprise;94%;07.03.2023 12:54
;etr-ksc-01.etr.eastbanctech.ru;192.168.150.199;Windows Server 2019 Standard;93%;20.02.2023 15:44
;anisimov2.etr.eastbanctech.ru;192.168.152.15;Windows 10 Enterprise;93%;14.03.2023 6:45
;notebook-tokarev.etr.eastbanctech.ru;192.168.152.151;Windows 10 Enterprise;98%;22.03.2023 9:50
;etr-vpn-03.etr.eastbanctech.ru;192.168.154.5;Windows Server 2019 Standard;98%;21.03.2023 18:01
;etr-tfs-db-01.etr.eastbanctech.ru;192.168.158.166;Windows Server 2019 Standard;98%;21.03.2023 15:12
;etr-ftp-02.etr.eastbanctech.ru;192.168.158.11;Windows Server 2019 Standard;98%;21.03.2023 19:20
;notebook-cherniavskaia.etr.eastbanctech.ru;192.168.152.58;Windows 10 Enterprise;99%;21.03.2023 9:14
;te-ex-01.etr.eastbanctech.ru;192.168.158.197;Windows Server 2019 Standard;98%;21.03.2023 18:27
;dev-alink-01.dev.etr.eastbanctech.ru;192.168.154.99;Windows Server 2016 Standard;98%;22.03.2023 11:05
;etr-tfs-db-02.etr.eastbanctech.ru;192.168.158.147;Windows Server 2019 Standard;98%;21.03.2023 16:47
;shamburov.etr.eastbanctech.ru;192.168.154.42;Windows 10 Enterprise;99%;21.03.2023 19:08
;etr-term-02.etr.eastbanctech.ru;192.168.158.192;Windows Server 2019 Standard;98%;21.03.2023 17:20
;etr-sync-02.etr.eastbanctech.ru;192.168.158.165;Windows Server 2019 Standard;98%;21.03.2023 18:15
;notebook-gaidar.etr.eastbanctech.ru;192.168.154.16;Windows 10 Enterprise;98%;22.03.2023 11:08
;etr-tni-02.etr.eastbanctech.ru;192.168.158.185;Windows Server 2019 Standard;98%;21.03.2023 16:23
;kotelnikova.etr.eastbanctech.ru;192.168.154.205;Windows 10 Enterprise;99%;22.03.2023 10:30
;te-db-01.etr.eastbanctech.ru;192.168.158.152;Windows Server 2019 Standard;98%;21.03.2023 20:45
;notebook-pavlov.etr.eastbanctech.ru;192.168.154.213;Windows 10 Enterprise;99%;22.03.2023 9:06
;notebook-kabaev.etr.eastbanctech.ru;192.168.159.37;Windows 10 Enterprise;98%;22.03.2023 12:48
;dev-tfs-09.dev.etr.eastbanctech.ru;192.168.154.168;Windows Server 2016 Standard;98%;22.03.2023 9:30
;dev-vsk-news-01.dev.etr.eastbanctech.ru;192.168.150.62;Windows Server 2016 Standard;98%;21.03.2023 12:35
;dev-port-sup-01.dev.etr.eastbanctech.ru;192.168.158.179;Windows Server 2019 Standard;98%;22.03.2023 10:34
;dev-project-01.dev.etr.eastbanctech.ru;192.168.154.61;Windows Server 2012 R2;98%;22.03.2023 1:54
;ocheretinskaya.etr.eastbanctech.ru;192.168.152.106;Windows 10 Enterprise;99%;22.03.2023 11:28
;dev-salesftp-01.dev.etr.eastbanctech.ru;192.168.150.160;Windows Server 2016 Standard;98%;21.03.2023 17:18
;dev-slb-build-1.dev.etr.eastbanctech.ru;192.168.152.183;Windows Server 2016 Standard;98%;22.03.2023 0:57
;notebook-labutin.etr.eastbanctech.ru;192.168.152.141;Windows 10 Enterprise;98%;22.03.2023 10:13
;dev-adfs-2016.dev.etr.eastbanctech.ru;192.168.154.31;Windows Server 2016 Standard;98%;22.03.2023 10:50
;etr-host-07.etr.eastbanctech.ru;192.168.150.63;Windows Server 2019 Standard;98%;21.03.2023 18:51
;goryakin.etr.eastbanctech.ru;192.168.152.144;Windows 10 Enterprise;99%;22.03.2023 13:01
;notebook-vinichenko.etr.eastbanctech.ru;192.168.159.46;Windows 10 Enterprise;98%;21.03.2023 10:30
